Name,Table_Number,UnionSuperclassStrategy,UnionSubclassStrategy,JoinedSubclassStrategy,ForeignKeyEmbeddingStrategy,OwnAssociationTableStrategy,InsertTime,SelectTime,Average Time,SpaceConsumption,Pareto_Frontier
CSOS_Sol_1862,14,0,12,2,0,4,7005.0,609.0,3807.0,448.0,0
CSOS_Sol_1861,13,0,10,3,1,3,6502.0,622.0,3562.0,432.0,0
CSOS_Sol_1864,14,0,12,2,0,4,7027.0,607.0,3817.0,448.0,0
CSOS_Sol_1863,14,0,13,1,0,4,6829.0,608.0,3718.5,432.0,0
CSOS_Sol_1860,13,0,11,2,1,3,6531.0,613.0,3572.0,416.0,0
CSOS_Sol_67,11,0,7,4,3,1,6013.0,646.0,3329.5,384.0,0
CSOS_Sol_66,13,8,5,0,1,3,5394.0,520.0,2957.0,288.0,0
CSOS_Sol_65,11,0,8,3,3,1,6377.0,643.0,3510.0,368.0,0
CSOS_Sol_64,11,0,9,2,3,1,5967.0,610.0,3288.5,352.0,0
CSOS_Sol_69,11,0,9,2,3,1,6393.0,620.0,3506.5,352.0,0
CSOS_Sol_68,10,0,7,3,4,0,5867.0,671.0,3269.0,336.0,0
CSOS_Sol_1859,13,0,11,2,1,3,6559.0,608.0,3583.5,416.0,0
CSOS_Sol_1858,13,0,12,1,1,3,6453.0,589.0,3521.0,400.0,0
CSOS_Sol_1855,13,0,11,2,1,3,6539.0,643.0,3591.0,416.0,0
CSOS_Sol_63,10,0,6,4,4,0,6159.0,631.0,3395.0,352.0,0
CSOS_Sol_1854,13,0,10,3,1,3,6421.0,683.0,3552.0,432.0,0
CSOS_Sol_62,10,0,5,5,4,0,6087.0,624.0,3355.5,368.0,0
CSOS_Sol_61,10,0,7,3,4,0,6035.0,618.0,3326.5,336.0,0
CSOS_Sol_1857,13,0,9,4,1,3,6592.0,603.0,3597.5,448.0,0
CSOS_Sol_60,10,0,6,4,4,0,5966.0,626.0,3296.0,352.0,0
CSOS_Sol_1856,13,0,10,3,1,3,6854.0,638.0,3746.0,432.0,0
CSOS_Sol_1873,14,0,12,2,0,4,6460.0,594.0,3527.0,448.0,0
CSOS_Sol_1872,14,0,12,2,0,4,6909.0,611.0,3760.0,448.0,0
CSOS_Sol_1875,14,0,11,3,0,4,6867.0,627.0,3747.0,464.0,0
CSOS_Sol_1874,14,0,11,3,0,4,6931.0,618.0,3774.5,464.0,0
CSOS_Sol_1871,13,0,9,4,1,3,6494.0,605.0,3549.5,448.0,0
CSOS_Sol_1870,13,0,10,3,1,3,6373.0,605.0,3489.0,432.0,0
CSOS_Sol_56,11,0,8,3,3,1,6026.0,595.0,3310.5,368.0,0
CSOS_Sol_55,12,0,6,6,2,2,6539.0,609.0,3574.0,448.0,0
CSOS_Sol_54,10,0,9,1,4,0,5915.0,607.0,3261.0,304.0,0
CSOS_Sol_53,10,0,4,6,4,0,5962.0,626.0,3294.0,384.0,0
